PatientGuid,Forenames,Surname,DateOfBirth,Sex,PostCode,Ethnicity,PatientType,PatientStatus,NHSNumber
cfc5a779-7c93-4dee-b9ca-ac670b4a50bf,Nathan,Jennings,2011-08-24,F,EH31XD,,5,1,3218196001
480f540a-3dfa-4fed-8912-df98ff21bcdd,Mary,Higgins,2004-12-25,M,L38HX,White,1,11,3863794026
99065105-68bd-44a8-9cf8-220648ffc7f5,Gerald,Patterson,1981-09-18,U,TS06PL,Asian,4,1,5116155940
e539b5b6-d19e-4c59-9620-2ab512ad79a9,Robin,Andrews,1945-10-11,I,CF11QQ,Mixed,1,8,1849593103
dfc7c8da-f3f9-4340-8a98-87f3acd650ff,Arthur,Gough,2006-10-14,U,LE8B1XN,,4,1,6475255341
44d506c3-7606-497f-8891-1bea38023c2f,Marian,Young,2010-03-05,M,OX30JN,Mixed,4,1,7648350305
017c0feb-3710-4cb7-9b88-2d737924b758,Donald,Taylor,1935-06-24,I,FY755QH,Asian,1,1,9537672423
e8ffea84-f6fa-47b9-b24c-c5f5147e39d5,Vincent,Harrison,2015-10-30,U,RM1W8JG,Other,12,11,6532871012
328d8556-d40b-4076-975c-0d4b3347ee50,Jessica,Dixon,1987-07-14,M,SM8H0JB,Other,12,11,1669784801
acf8678c-30b8-4a78-83c1-15b76cd46f9f,Joanne,Phillips,1967-07-21,U,N377FL,Other,5,1,4627048281
dbdc2075-b0ee-43b8-aa4c-da8f250cb558,Louis,Morris,1943-08-16,U,M9G5JF,Other,4,1,5288095701
85e9e8d6-ba74-4fea-bece-2ec0928211ef,Valerie,Green,1993-12-18,U,E26ZD,Asian,4,1,3911718227
106a4c12-0b2f-483a-a394-33e1772c01a6,Margaret,Wright,1976-12-25,M,NG481XL,Asian,12,1,8346578713
8b3711f9-c19a-4237-b73c-39e92305278c,Maurice,Griffiths,2011-11-08,M,CW708GW,,5,1,9839301031
52d491f9-3b91-4e3b-8fd2-c4eb4a292934,Kayleigh,Burns,1939-02-06,F,MK9H5GX,Asian,1,11,3473829973
fd4cad30-f51a-4482-bc87-cac3ebe620f3,David,Anderson,1996-10-19,I,BA153BJ,Black,4,1,1656670106
859aa6e6-e8ce-45b3-baf6-c19852336192,Jason,Cunningham,2001-11-01,U,TW182UX,,4,1,3872624731
2988dfaf-3601-495a-a6ea-803f791f9657,Arthur,Hill,1947-02-03,I,S3J4RQ,Mixed,1,1,8013267736
7a14ecef-a453-4ca2-95f6-0727475da102,Georgia,Price,1984-03-30,F,L159XJ,White,12,1,6474687234
a37af7a4-59fa-4990-b840-b7b4ce7e563c,Gerald,Bailey,2004-09-14,M,RG0H0PD,,1,11,5009788208
324ea2ee-bf74-4fec-997d-ce35521cc589,Frank,White,1994-08-05,F,DN823US,White,1,11,1361939909
01bfbb64-50fb-4221-a169-c0da7de8c3b2,Neil,Glover,1950-07-14,F,HU660EB,Black,5,8,3534624751
a6aebd5b-4e3d-4b16-af5c-9b0753859a4b,Declan,Roberts,1979-06-01,F,L38TF,Black,1,1,8384251354
d9e5c8eb-81fc-419b-9b14-d4c25d9e37b1,Justin,White,1982-01-13,M,E780XA,Black,5,11,8084124118
f962b33d-2a0f-4770-82e6-53af9be14ad9,Frank,Thompson,1937-04-24,M,LS362RA,Asian,5,11,3534874016
13f2a398-b460-4246-ba3b-b90180f9aeb2,Arthur,Bennett,1977-10-02,U,GL682HN,,1,8,2427868011
432b985d-a0af-44ff-b3ec-fd8be8f0a5f4,Kevin,Jackson,1954-03-31,M,B5A9UW,Mixed,1,8,9826204505
31207923-568f-4a2f-bd14-7e49e5985813,Charles,George,1996-11-26,M,E2B3RE,Other,4,11,1586923226
630bf46d-9bbf-4960-ab5e-3091029db97a,Louis,Jackson,2002-02-24,F,E64HP,White,5,8,3421607337
d8911eee-5863-4ab9-9f42-6b46dbf73692,Arthur,Byrne,1957-02-07,U,RM4R1AT,Asian,4,1,0365414586
0f86ba00-db64-4a78-aec5-1bfac8d4e91d,Lynne,Turner,2009-02-26,U,L82QD,,1,8,2940196556
68ad417e-18b9-458f-b096-e9d53b578c3b,Lauren,Kirby,1957-11-12,F,WA848NE,Black,4,8,0608835615
38f21712-4ef0-41a7-9bc1-40d6acb7763a,Arthur,Clark,1942-11-23,U,G49HP,Other,1,11,4846564823
5065bbfd-aa93-430f-9ab6-54c409a71bc1,Joyce,Thomson,1952-04-29,I,MK70DS,Other,12,11,2994680443
589db617-0c47-4a52-b950-e9ee19f413e9,Samuel,Harper,1962-04-10,I,M278AE,Mixed,5,8,7738721489
bcabe7af-ec21-4054-965d-bd89962cce3f,Hollie,Cooke,1934-11-10,U,B5K6FB,,4,11,4332003791
